name,createdAt,updatedAt,releases,primaryLanguage,mergedPullRequests,closedIssues,totalIssues,closedVsTotalIssues,daysSinceLastUpdate,repoAgeInDays,popularLanguage
freeCodeCamp,2014-12-24,2019-09-09,0,JavaScript,11942,13626,13782,0.989,0,1720,True
996.ICU,2019-03-26,2019-09-09,0,Rust,1026,0,0,0,0,167,False
vue,2013-07-29,2019-09-09,207,JavaScript,907,8137,8377,0.971,0,2233,True
react,2013-05-24,2019-09-09,83,JavaScript,5932,7425,8016,0.926,0,2299,True
bootstrap,2011-07-29,2019-09-09,55,JavaScript,5122,18450,18759,0.984,0,2964,True
tensorflow,2015-11-07,2019-09-09,85,C++,8307,17521,19944,0.879,0,1402,True
free-programming-books,2013-10-11,2019-09-09,0, ,2367,366,401,0.913,0,2159,False
awesome,2014-07-11,2019-09-09,0, ,422,217,230,0.943,0,1886,False
You-Dont-Know-JS,2013-11-16,2019-09-09,0, ,334,683,774,0.882,0,2123,False
oh-my-zsh,2009-08-28,2019-09-09,0,Shell,2015,2801,2980,0.94,0,3664,False
gitignore,2010-11-08,2019-09-09,0, ,1314,0,0,0,0,3227,False
coding-interview-university,2016-06-06,2019-09-09,0, ,155,68,104,0.654,0,1190,False
javascript,2012-11-01,2019-09-09,0,JavaScript,709,840,918,0.915,0,2503,True
developer-roadmap,2017-03-15,2019-09-09,2, ,24,240,405,0.593,0,908,False
d3,2010-09-27,2019-09-09,147,JavaScript,432,2009,2013,0.998,0,3269,True
vscode,2015-09-03,2019-09-09,0,TypeScript,4073,68106,73916,0.921,0,1467,True
react-native,2015-01-09,2019-09-09,128,JavaScript,605,16766,17412,0.963,0,1704,True
linux,2011-09-04,2019-09-09,0,C,9,0,0,0,0,2927,True
electron,2013-04-12,2019-09-09,470,C++,7339,10453,11439,0.914,0,2341,True
CS-Notes,2018-02-13,2019-09-09,0,Java,336,321,331,0.97,0,573,True
flutter,2015-03-06,2019-09-09,0,Dart,11476,17286,24957,0.693,0,1648,False
awesome-python,2014-06-27,2019-09-09,0,Python,441,89,152,0.586,0,1900,True
system-design-primer,2017-02-26,2019-09-09,0,Python,144,28,93,0.301,0,925,True
create-react-app,2016-07-17,2019-09-09,68,JavaScript,1537,4544,4905,0.926,0,1149,True
the-art-of-command-line,2015-05-20,2019-09-09,0, ,301,76,153,0.497,0,1573,False
axios,2014-08-18,2019-09-09,20,JavaScript,247,1308,1869,0.7,0,1848,True
node,2014-11-26,2019-09-09,120,JavaScript,2063,9625,10417,0.924,0,1748,True
go,2014-08-19,2019-09-09,0,Go,0,28414,33294,0.853,0,1847,False
animate.css,2011-10-12,2019-09-09,19,CSS,134,641,656,0.977,0,2889,False
public-apis,2016-03-20,2019-09-09,0,Python,674,96,110,0.873,0,1268,True
Font-Awesome,2012-02-17,2019-09-09,30,JavaScript,170,9958,14852,0.67,0,2761,True
angular.js,2010-01-06,2019-09-08,0,JavaScript,769,8562,8950,0.957,1,3533,True
Python-100-Days,2018-03-01,2019-09-09,0,Jupyter Notebook,12,43,202,0.213,0,557,False
kubernetes,2014-06-06,2019-09-09,335,Go,38893,29508,31707,0.931,0,1921,False
models,2016-02-05,2019-09-09,8,Python,1780,3123,4613,0.677,0,1312,True
free-programming-books-zh_CN,2013-11-04,2019-09-09,3, ,257,206,321,0.642,0,2135,False
youtube-dl,2010-10-31,2019-09-09,273,Python,1370,15310,17799,0.86,0,3235,True
laravel,2011-06-08,2019-09-09,21,PHP,1166,0,0,0,0,3015,True
moby,2013-01-18,2019-09-09,80,Go,15804,16030,19655,0.816,0,2425,False
Python,2016-07-16,2019-09-09,0,Jupyter Notebook,586,123,178,0.691,0,1150,False
three.js,2010-03-23,2019-09-09,100,JavaScript,5995,8462,9074,0.933,0,3457,True
JavaGuide,2018-05-07,2019-09-09,0,Java,183,160,198,0.808,0,490,True
puppeteer,2017-05-09,2019-09-09,32,JavaScript,1329,2752,3245,0.848,0,853,True
TypeScript,2014-06-17,2019-09-09,85,TypeScript,8258,19560,23195,0.843,0,1910,True
javascript-algorithms,2018-03-24,2019-09-09,0,JavaScript,142,69,108,0.639,0,534,True
jquery,2009-04-03,2019-09-09,0,JavaScript,384,1835,1905,0.963,0,3811,True
terminal,2017-08-11,2019-09-09,8,C++,412,1548,2173,0.712,0,759,True
ant-design,2015-04-24,2019-09-09,275,TypeScript,3741,13558,13878,0.977,0,1599,True
angular,2014-09-18,2019-09-09,0,TypeScript,2903,16089,18764,0.857,0,1817,True
java-design-patterns,2014-08-09,2019-09-09,0,Java,305,278,459,0.606,0,1857,True
webpack,2012-03-10,2019-09-09,181,JavaScript,2351,6152,6585,0.934,0,2739,True
redux,2015-05-29,2019-09-09,60,TypeScript,1210,1648,1675,0.984,0,1564,True
material-ui,2014-08-18,2019-09-09,229,JavaScript,6365,9013,9361,0.963,0,1848,True
atom,2012-01-20,2019-09-09,498,JavaScript,3515,14505,15018,0.966,0,2789,True
swift,2015-10-23,2019-09-09,17,C++,23661,0,0,0,0,1417,True
30-seconds-of-code,2017-11-29,2019-09-09,4,JavaScript,611,193,203,0.951,0,649,True
awesome-vue,2015-10-20,2019-09-09,0, ,2523,72,147,0.49,0,1420,False
reveal.js,2011-06-07,2019-09-09,25,JavaScript,308,1279,1682,0.76,0,3016,True
awesome-go,2014-07-06,2019-09-09,0,Go,1827,187,195,0.959,0,1891,False
socket.io,2010-03-11,2019-09-09,18,JavaScript,374,2340,2741,0.854,0,3469,True
Chart.js,2013-03-17,2019-09-09,39,JavaScript,1171,4241,4719,0.899,0,2367,True
lantern,2011-02-17,2019-09-09,84,Go,686,0,0,0,0,3126,False
Apollo-11,2014-04-03,2019-09-09,0,Assembly,174,244,264,0.924,0,1985,False
rails,2008-04-11,2019-09-09,6,Ruby,15918,12575,12939,0.972,0,4168,True
elasticsearch,2010-02-08,2019-09-09,7,Java,19548,19113,21019,0.909,0,3500,True
keras,2015-03-28,2019-09-09,20,Python,2369,6992,9515,0.735,0,1626,True
django,2012-04-28,2019-09-09,0,Python,4766,0,0,0,0,2690,True
computer-science,2014-05-04,2019-09-09,0, ,135,361,386,0.935,0,1954,False
html5-boilerplate,2010-01-24,2019-09-09,28,JavaScript,305,1147,1150,0.997,0,3515,True
json-server,2013-11-27,2019-09-09,5,JavaScript,87,380,803,0.473,0,2112,True
keras,2015-03-28,2019-09-09,20,Python,2369,6992,9515,0.735,0,1626,True
django,2012-04-28,2019-09-09,0,Python,4766,0,0,0,0,2690,True
computer-science,2014-05-04,2019-09-09,0, ,135,361,386,0.935,0,1954,False
html5-boilerplate,2010-01-24,2019-09-09,28,JavaScript,305,1147,1150,0.997,0,3515,True
httpie,2012-02-25,2019-09-09,31,Python,105,438,553,0.792,0,2753,True
json-server,2013-11-27,2019-09-09,5,JavaScript,87,380,803,0.473,0,2112,True
moment,2011-03-01,2019-09-09,0,JavaScript,601,3180,3447,0.923,0,3114,True
shadowsocks-windows,2013-01-14,2019-09-09,40,C#,175,2092,2202,0.95,0,2429,True
Front-end-Developer-Interview-Questions,2012-02-09,2019-09-09,0,HTML,312,92,97,0.948,0,2769,False
resume.github.com,2011-02-06,2019-09-09,0,JavaScript,84,54,83,0.651,0,3137,True
awesome-machine-learning,2014-07-15,2019-09-09,0,Python,535,58,60,0.967,0,1882,True
spring-boot,2012-10-19,2019-09-09,35,Java,41,14133,14496,0.975,0,2516,True
meteor,2012-01-19,2019-09-09,0,JavaScript,1089,7772,8102,0.959,0,2790,True
lodash,2012-04-07,2019-09-09,2,JavaScript,549,3455,3464,0.997,0,2711,True
storybook,2016-03-18,2019-09-09,336,TypeScript,3263,3548,3903,0.909,0,1270,True
netdata,2013-06-17,2019-09-09,23,C,2568,3412,3949,0.864,0,2275,True
element,2016-09-03,2019-09-09,125,Vue,3010,12599,13343,0.944,0,1101,False
next.js,2016-10-05,2019-09-08,391,JavaScript,3046,4541,4793,0.947,1,1069,True
markdown-here,2012-05-13,2019-09-09,11,JavaScript,20,286,524,0.546,0,2675,True
RxJava,2013-01-08,2019-09-09,179,Java,2692,2756,2767,0.996,0,2435,True
vue-element-admin,2017-04-17,2019-09-09,45,Vue,252,1823,2190,0.832,0,875,False
LeetCodeAnimation,2018-12-06,2019-09-09,0,Java,4,18,18,1.0,0,277,True
requests,2011-02-13,2019-09-09,0,Python,1303,2763,2973,0.929,0,3130,True
bitcoin,2010-12-19,2019-09-09,29,C++,7738,4178,4883,0.856,0,3186,True
every-programmer-should-know,2017-08-24,2019-09-09,0, ,77,13,26,0.5,0,746,False
ansible,2012-03-06,2019-09-09,3,Python,27471,20326,24378,0.834,0,2743,True
rust,2010-06-16,2019-09-09,0,Rust,24451,26197,31154,0.841,0,3372,False
ionic,2013-08-20,2019-09-09,163,TypeScript,1864,15337,16029,0.957,0,2211,True
material-design-icons,2014-10-08,2019-09-09,14,CSS,23,300,832,0.361,0,1797,False
interviews,2017-02-14,2019-09-09,0,Java,42,14,36,0.389,0,937,True
